企業コード,業種,企業名,2018売上,2018営業利益,2018当期利益,2018基本的1株当たり当期利益,2019売上,2019営業利益,2019当期利益,2019基本的1株当たり当期利益,2020売上,2020営業利益,2020当期利益,2020基本的1株当たり当期利益,2021売上,2021営業利益,2021当期利益,2021基本的1株当たり当期利益,20201株当たりの当期純利益,2020PER,20201株当たりの純資産,2020PBR,2020ROA,2020ROE,2020自己資本比率,2020配当性向,2020営業CF,2020投資CF,2020財務CF,20211株当たりの当期純利益,2021PER,20211株当たりの純資産,2021PBR,2021ROA,2021ROE,2021自己資本比率,2021配当性向,2021営業CF,2021投資CF,2021財務CF,短信決算発表日,決算月,2020配当利回り,2021配当利回り,中間配当,期末配当,中間配当権利付き最終日,中間配当基準日,期末配当権利付き最終日,期末配当基準日,専門家予想,みんなの予想
4543,精密機器,テルモ,"587,775","108,552","91,201",129.56,"599,481","106,637","79,287",108.7,"628,897","110,611","85,037",113.96,"613,842","98,386","77,200",102.33,113.96,,1009.63,,6.86,11.73,60.8,24.6,"117,479","△84,714","14,010",102.33,,1145.75,,5.72,9.59,63.4,28.3,"121,485","△85,317","△7,436",2021/5/12,3.0,0.81,0.71,16.0,15.0,2021/9/27,2021/9/30,2021/3/28,2021/3/31,5,1
7741,精密機器,HOYA,"535,612","124,248","99,222",258.46,"565,810","144,657","122,072",321.55,"576,546","147,268","114,587",303.27,"547,921","159,218","125,221",335.77,303.27,,1777.14,,14.11,18.04,79.5,29.7,"163,366","△47,384","△85,468",335.77,,1898.99,,14.7,18.82,80.6,26.8,"151,812","△29,790","△115,673",2021/4/30,3.0,1.0,0.77,45.0,45.0,2021/9/27,2021/9/30,2021/3/28,2021/3/31,8,1
7733,精密機器,オリンパス,"786,497","81,029","57,092",41.71,"793,862","28,281","8,049",5.97,"755,231","92,200","51,655",39.37,"730,544","81,985","12,989",10.05,7.51,,292.24,,5.09,12.73,48.7,25.4,"133,544","△62,430","△19,462",6.64,,271.69,,1.09,3.38,42.3,119.4,"124,122","△118,918","40,800",2021/5/7,3.0,0.67,0.58,0.0,12.0,2021/9/27,2021/9/30,2021/3/28,2021/3/31,8,6
7762,精密機器,シチズン,"320,047","24,920","19,303",60.65,"321,652","22,411","13,369",42,"278,531","6,136","△16,667",△53.07,"206,641","△9,551","△25,173",△80.52,7.79,,423.05,,△4.51,△6.96,56.8,△22.61,"17,347","△15,498","△7,049",△30.46,,399.17,,△6.88,△11.83,53.0,△6.20,"7,489","△7,627","18,336",2021/5/13,3.0,2.23,1.49,9.0,2.5,2021/9/27,2021/9/30,2021/3/28,2021/3/31,4,7
4902,精密機器,コニカミノル,"1,031,256","53,844","32,207",65.17,"1,059,120","62,444","41,729",84.33,"996,101","8,211","△3,086",△6.21,"863,381","△16,266","△14,650",△30.75,24.45,,664.25,,△0.24,△0.57,43.8,△402.57,"30,148","△50,043","△11,910",33.43,,675.54,,△1.17,△2.86,43.3,△81.30,"78,060","△34,330","△13,085",2021/5/14,3.0,3.05,6.34,15.0,15.0,2021/9/27,2021/9/30,2021/3/28,2021/3/31,2,4
7731,精密機器,ニコン,"717,078","56,236","34,835",87.76,"708,660","82,653","66,597",67.86,"591,012","6,751","7,842",19.93,"451,223","△56,241","△34,509",△93.96,△25.03,,748.84,,0.76,1.33,40.5,200.7,"16,419","△21,281","△72,739",165.52,,926.32,,△3.49,△6.40,46.3,△21.28,"4,966","18,024","△4,991",2021/5/13,3.0,2.86,2.38,20.0,10.0,2021/9/27,2021/9/30,2021/3/28,2021/3/31,4,6
7912,その他製造,大日印,"1,412,251","46,372","27,501",90.77,"1,401,505","49,898","△35,668",△118.22,1401894,56274,"69,497",235.18,"1,335,439","49,529","25,088",89.32,101.51,,"1,994.84",,4.04,7.27,41.2,27.2,"93,937","191,057","△41,280",45.02,,"2,302.03",,1.37,2.56,45.6,71.7,"61,681","△56,284","△78,268",2021/5/13,3.0,2.43,2.95,32.0,32.0,2021/9/27,2021/9/30,2021/3/28,2021/3/31,7,9
7911,その他製造,凸版,1452751,52290,42267,131.32,1464755,45743,41060,127.58,1486007,66413,87047,261.06,1466935,58789,81997,237.16,247.41,,2764.53,,4.06,7.41,60.7,23,92134,△35143,△32740,226.93,,3170.92,,3.47,6.54,60.2,16.9,76858,81249,42215,2021/5/12,3.0,3.17,2.47,20.0,20.0,2021/9/27,2021/9/30,2021/3/28,2021/3/31,7,5
7832,その他製造,バンナムHD,"678,312","75,024","54,109",246.29,"732,347","84,045","63,383",288.4,"723,989","78,775","57,665",262.39,"740,903","84,654","48,894",222.58,123.56,,"1,118.04",,9.3,13.13,59.3,50.3,"43,131",△23067,"△35,258",499.42,,"1,639.51",,6.67,10.19,68.1,50.3,"60,483",△29771,"△19,037",2021/5/11,3.0,2.2,1.52,24.0,91.0,2021/9/27,2021/9/30,2021/3/28,2021/3/31,8,7
7951,その他製造,ヤマハ,"432,967","48,833","54,378",291.81,"437,416","56,030","43,753",240.94,"414,227","43,333","34,703",194.71,"372,630","35,039","26,708",151.39,146.53,,"1,346.25",,7.3,10.13,74.0,33.9,"57,162","△21,067","△36,422",107.63,,"1,599.84",,4.77,7.38,74.2,43.6,"58,225","△5,785","△20,602",2021/5/10,3.0,1.24,1.23,33.0,33.0,2021/9/27,2021/9/30,2021/3/28,2021/3/31,2,7
